"productora","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Bad Hat Harry Productions",12,6.71878515185602,217560184.75,41.4987675833333
"C-2 Pictures",2,5.79926818768833,101814739,41.4442875
"Film 4",2,7.81196787148594,36895595.5,41.3712565
"Laika Entertainment",4,7.06136795440152,59296657,41.22826225
"Mark Canton Productions",2,6.35340685309177,112409564,41.1975225
"Big Screen Productions",13,6.49262990746318,167030517.692308,41.1760113076923
"The Zanuck Company",7,6.62153911564626,123421241.571429,41.1314745714286
"Flower Films",3,7.11004868549172,16312056.6666667,40.9594626666667
"Eon Productions",22,6.51085787578314,175879086.318182,40.8743710909091
"Darkwoods Productions",4,7.76018470116745,52922611.5,40.7523395
"Material Pictures",2,5.66609442060086,28162492.5,40.702951
"Big Talk Productions",5,7.06592249855408,27258480,40.7003106
"21 Laps Entertainment",12,6.16310791192838,127124871.083333,40.62294825
"Babelsberg Film",4,6.73082585278276,99120415.5,40.61146425
"M6 Films",8,6.51219765929779,102651246.25,40.591544125
"Rat Entertainment",4,5.94534161490683,78692545.25,40.36191825
"Blumhouse Productions",22,6.29023821634452,77464591.9090909,40.2620984545455
"Kalima Productions GmbH & Co. KG",4,6.89333333333333,75684841,40.026951
"Di Bonaventura Pictures",19,6.15631866534907,196115683.473684,39.9370522105263
"Virtual Studios",7,7.15372583739118,72981910,39.8766771428571
"Thunder Road Pictures",8,6.10966292134832,59496241.5,39.869732625
"Vendome Pictures",2,6.9356442119032,60746536,39.777169
"Protozoa Pictures",6,6.79950275645876,95768540.1666667,39.7513771666667
"VIP Medienfonds 4",2,7.25952572347267,55744602,39.7366735
"Escape Artists",13,6.75440608251278,72499692.6923077,39.7314687692308
"IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG",5,6.26065513433934,40848562,39.6887954
"The Safran Company",6,6.78470310656705,143686601.5,39.6487038333333
"Sony Pictures Animation",12,6.21747728098873,168963070,39.6008150833333
"DNA Films",10,7.11689047419219,40717010.8,39.5248597
"Film Export A.G.",2,6.74760751059964,190838362,39.511128
"Montecito Picture Company, The",4,5.97895279323851,78759275.25,39.49664025
"Hofflund/Polone",2,6.39109707064905,102508057,39.311698
