"actor","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Alec McCowen",6,6.1,56618699,25.580272
"Caroline Kava",3,6.9,-1.2e+07,25.496926
"Sandra Voe",2,7,112266007,25.219805
"Shaobo Qin",3,6.9,159515725,25.170217
"Loyd Catlett",3,6.9,-6300000,24.939295
"Rif Hutton",2,6.4,64380927,24.917665
"Andreas Wisniewski",4,7,28848069,24.898687
"John Noble",4,6.8,-19695110,24.606012
"Rod Steiger",12,7.3,-12112543,24.548633
"Clive Ashborn",2,6.4,97489822,24.356483
"Michael V. Gazzo",3,6.2,-7368097,24.353302
"Bill Duke",10,6.9,44244700,24.351305
"Klaus Maria Brandauer",3,7,15707411,24.313684
"Leo G. Carroll",2,5.9,33354918,24.153567
"Joanna Cassidy",7,7.7,0,24.132271
"Brigitte Nielsen",2,7.3,20539911,24.100863
"Sean Sullivan",2,7.4,1e+06,23.981601
"Harry Melling",4,5.9,36053787,23.980329
"Jennifer Lopez",22,5.6,34945765,23.661071
"Michael Angarano",12,6,150685453,23.496054
"Ric Young",7,5.5,50468332,23.423082
"Emily Watson",17,4.1,4508066,23.336875
"Jean-Marc Barr",2,5.6,88627965,23.218144
"Eve Arden",2,7,67567667,23.161754
"Shawn Wayans",4,6.9,0,23.139971
"Fairuza Balk",9,7.7,30300000,23.109959
"Alison Folland",7,7.1,-4.7e+07,23.05451
"Cress Williams",2,6.5,-1634533,22.987897
"Laurie Metcalf",11,6.5,63107642,22.977983
"Brooke D'Orsay",3,6.9,34519773,22.863516
"James Denton",2,7.1,46399552,22.838834
"Andrew Airlie",5,5.7,174512032,22.789649
"Robert Wagner",10,5.7,100270147,22.769108
"Bruce Bruce",2,6,-448826,22.748174
"Kelly Hu",7,5.4,181466833,22.644275
"Nancy Lenehan",4,5.5,69832389,22.501041
"Willoughby Gray",3,6.4,12869680,22.341462
"Lucia Rijker",3,7.1,46200000,22.030517
"Geraldine McEwan",3,6.7,-2e+07,22.001408
"Khandi Alexander",6,6.8,20097815,21.857387
"Rick Moranis",3,6.5,101697323,21.815122
"Simo Mogwaza",3,6.1,61821334,21.735068
"Steve Eastin",6,6.2,25283321,21.535126
"Josh Herdman",6,5.8,-33328495,21.312186
"Justin Chatwin",5,5.5,21674817,21.133748
"William Moseley",3,7.5,0,20.982455
"William Sanderson",4,7,16597830,20.953265
"Barbra Streisand",6,7.2,23956241,20.825781
"Gina Torres",4,6.9,156200000,20.818567
"Joe Turkel",2,7.5,2820000,20.810292
"Diego Luna",9,5.8,30891409,20.790703
"Saul Williams",2,6.8,57466670,20.679652
"Byron Utley",2,6.7,11771272,20.601483
"Anthony Ray Parker",2,5.4,0,20.392858
"Joshua Jackson",13,5.7,-23990820,20.374308
"Whoopi Goldberg",28,5,35649600,20.344364
"Karen Black",5,7,104387195,20.334629
"Shawn Ashmore",7,6.7,2601043,20.331593
"Desmond Llewelyn",17,5.5,5181129,20.239061
"Elizabeth Taylor",4,6.4,31466789,19.944479
"Albert Dekker",2,6.7,75834556,19.925026
"James Shigeta",3,7.5,28101594,19.85579
"Vera Miles",2,5.6,99906693,19.738215
"Nancy Cartwright",3,6.3,4.8e+07,19.711951
"Tim Robbins",18,7,52378584,19.683187
